conversation_id,messages,label,reasons,severity
conv_001,"User: Hi, did my refund go through? Order #7734. || Bot: Let me check… Yes, a refund of Rs.89.99 was processed on April 2nd. It should appear on your statement by April 7th. || User: Okay cool. I'll keep an eye out. Thanks. || Bot: You're welcome! Feel free to reach out if it doesn't show up.",0,"resolved,smooth_flow",0.52
conv_002,User: My package was delivered to the wrong address!!! || Bot: I'm so sorry! Please provide your order number. || User: Order 3341. It was left at someone else's house. || Bot: Thank you. I can see it was delivered. Please check with your neighbors. || User: I already said — WRONG ADDRESS. Not my neighbors. A completely different street. || Bot: I understand. This may be a carrier error. Please contact FedEx directly. || User: That's your job. I paid YOU. Fix it or refund me. || Bot: I'll escalate this to our logistics team. || User: I've been waiting 20 minutes. This is totally unacceptable.,1,"frustration,fallback",0.72
conv_003,User: I've been waiting 2 weeks for my refund. This is ridiculous. || Bot: I'm sorry for the delay. Refunds typically take 5–7 business days. || User: I KNOW THAT. I've been told the same thing three times already. Where is my money? || Bot: I understand your frustration. I'll escalate this to our billing team. || User: Every time I contact you I get the same useless answer. I want to talk to a real person NOW. || Bot: I apologize for the experience. I recommend contacting us via phone for immediate assistance. || User: You're completely useless. I'm disputing this charge with my bank.,1,"frustration,repetition,fallback",0.89
conv_004,User: My login stopped working after your update yesterday. || Bot: I'm sorry about that. Please try clearing your cache and cookies. || User: Already did that. Didn't work. || Bot: Please try a different browser. || User: Tried that too. Same issue. Can someone actually look at my account? || Bot: I understand. Please try resetting your password. || User: I've reset it 4 times today. Nothing works. You keep giving me the same suggestions. || Bot: I apologize. This seems to be an account-level issue. I recommend contacting support via email.,1,"frustration,repetition,fallback",0.89
conv_005,"User: Hi, I ordered 3 items but only got 2. Should I wait for the third? || Bot: I'm sorry! Let me check your order. I can see item 3 (notebook) was out of stock and shipped separately. It's due tomorrow. || User: Would have been nice to know that from the start. || Bot: Completely fair feedback. We should have notified you. I've shared your feedback with our operations team. || User: Okay. As long as it's coming tomorrow. || Bot: It is — tracking number TX44821. Any questions? || User: No, that's fine. Thanks.",0,"resolved,clarified",0.54
conv_006,"User: Hi, I accidentally placed a duplicate order. Can you cancel one? || Bot: Of course! I've cancelled the duplicate order #5523. Your refund of Rs.47.00 will be processed within 3–5 business days. || User: Thank you, you're a lifesaver! || Bot: Happy to help! Have a great day.",0,"resolved,smooth_flow",0.54
conv_007,"User: Hi, I'm trying to redeem a promo code but it says it's invalid. || Bot: Let me verify that code. It looks like SAVE20 expired on March 31st. However, I can apply a 15% goodwill discount to your current cart manually. || User: That works! Please go ahead. || Bot: Done! The discount has been applied. Enjoy your purchase.",0,"resolved,clarified",0.58
conv_008,User: I need urgent help — my business payments are failing. || Bot: I'm sorry to hear that. Can you tell me more about the error? || User: Error code 5032. Payments have been failing for 2 hours. || Bot: Error 5032 typically indicates a temporary gateway issue. Please try again in a few minutes. || User: It's been 2 HOURS. This is costing my business real money. || Bot: I understand. Gateway issues are usually resolved within 24 hours. || User: 24 hours is completely unacceptable. I need an engineer on this NOW. || Bot: I'll submit a technical escalation report. || User: This is my livelihood. I need a direct line to someone who can fix this.,1,"frustration,fallback",0.77
conv_009,"User: I've been double-billed for 3 months in a row. I've contacted you each time. || Bot: I'm sorry for the repeated billing issue. Let me check your account. || User: It's the same every month. You apologize, say you'll fix it, and next month same thing. || Bot: I've identified the billing error and am submitting a correction. || User: You said that last month too. I want a refund for all 3 months — Rs.147. || Bot: I'll submit that refund request to our billing team. || User: I don't want a request. I want it fixed permanently. Put me through to a manager.",1,"frustration,repetition",0.93
conv_010,"User: I'm so frustrated. Your app deleted all my saved data. || Bot: I'm sorry to hear that. When did this happen? || User: This morning, after the update. 2 years of data — gone. || Bot: Data is typically backed up automatically. Please try logging out and back in. || User: I did. Nothing is there. This is a critical problem. || Bot: Have you tried reinstalling the app? || User: YES. Still gone. Can someone actually help me recover my data? || Bot: I'll open a ticket for our technical team. || User: A ticket?! I need this fixed TODAY. Can I speak to a real person?",1,"frustration,fallback",0.7
